epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1,micro_f1,macro_f1,epoch_time_s,lr
216,0.284520,0.412224,0.267729,0.446661,,,,0.446891,0.295564,46.9,0.000100
217,0.284346,0.418292,0.271765,0.447528,,,,0.427632,0.270575,47.1,0.000100
218,0.285438,0.416558,0.267009,0.455334,,,,0.430446,0.284730,46.8,0.000100
219,0.284262,0.409623,0.266822,0.458803,,,,0.448187,0.293999,47.1,0.000100
220,0.284372,0.415908,0.265331,0.456201,,,,0.447742,0.301810,46.8,0.000100
221,0.285882,0.413091,0.273415,0.451865,,,,0.440915,0.288256,47.2,0.000100
222,0.284525,0.422627,0.267983,0.450997,,,,0.453503,0.293733,47.3,0.000100
223,0.281366,0.417208,0.265313,0.458803,,,,0.462516,0.314109,46.8,0.000100
224,0.283258,0.413741,0.265053,0.450130,,,,0.430910,0.297574,47.2,0.000100
225,0.283268,0.421326,0.264483,0.450997,,,,0.439374,0.305391,47.2,0.000100
226,0.279558,0.420459,0.269531,0.436253,,,,0.479807,0.319798,47.1,0.000100
227,0.282342,0.416992,0.264676,0.464007,,,,0.457724,0.318882,47.0,0.000100
228,0.280512,0.416775,0.265832,0.443192,,,,0.457071,0.308445,47.1,0.000100
229,0.280894,0.424577,0.266140,0.460538,,,,0.439474,0.306982,47.3,0.000100
230,0.281173,0.423927,0.265240,0.457936,,,,0.450578,0.314965,47.1,0.000100
231,0.280703,0.416342,0.262835,0.459670,,,,0.475481,0.333209,47.1,0.000100
232,0.280479,0.423277,0.265127,0.456201,,,,0.454777,0.304650,47.2,0.000100
233,0.278536,0.424361,0.260898,0.461405,,,,0.478043,0.329575,46.9,0.000100
234,0.278691,0.424577,0.264706,0.462272,,,,0.484923,0.334546,47.1,0.000100
235,0.277263,0.424144,0.262562,0.460538,,,,0.492063,0.351545,47.1,0.000100
236,0.279254,0.422193,0.263358,0.462272,,,,0.465995,0.314334,47.0,0.000100
237,0.278312,0.426961,0.259254,0.468343,,,,0.481250,0.345261,47.1,0.000100
238,0.277166,0.419809,0.261851,0.459670,,,,0.482199,0.347009,47.3,0.000100
239,0.276647,0.421977,0.260617,0.467476,,,,0.466752,0.325454,47.5,0.000100
240,0.275142,0.419376,0.259992,0.474415,,,,0.461939,0.340542,47.4,0.000100
241,0.276273,0.429562,0.257444,0.467476,,,,0.482500,0.345134,47.6,0.000100
242,0.274137,0.430863,0.259143,0.464874,,,,0.494161,0.357576,47.6,0.000100
243,0.278455,0.424144,0.258692,0.473547,,,,0.470812,0.343916,47.1,0.000100
244,0.277577,0.425661,0.260172,0.476149,,,,0.490660,0.356739,47.3,0.000100
245,0.273963,0.426961,0.261077,0.464007,,,,0.463878,0.331038,47.1,0.000100
246,0.273474,0.434980,0.256961,0.469211,,,,0.503303,0.361048,47.0,0.000100
247,0.273481,0.429779,0.257876,0.480486,,,,0.487866,0.357078,47.3,0.000100
248,0.273696,0.426311,0.254269,0.472680,,,,0.503352,0.364943,47.5,0.000100
249,0.271306,0.435631,0.256214,0.470945,,,,0.451529,0.335418,47.1,0.000100
250,0.271714,0.438665,0.253655,0.494363,,,,0.490518,0.384954,47.3,0.000100
251,0.271636,0.432596,0.254661,0.477016,,,,0.515821,0.379651,47.3,0.000100
252,0.271964,0.434764,0.253042,0.486557,,,,0.506112,0.369679,46.9,0.000100
253,0.271704,0.432596,0.252979,0.478751,,,,0.490613,0.358913,47.1,0.000100
254,0.272442,0.435414,0.254191,0.483955,,,,0.493984,0.370986,47.2,0.000100
255,0.271328,0.439749,0.253995,0.483955,,,,0.488357,0.368120,47.3,0.000100
256,0.272010,0.435631,0.251978,0.481353,,,,0.504926,0.373710,47.0,0.000100
257,0.271181,0.434114,0.253746,0.480486,,,,0.515738,0.379869,47.2,0.000100
258,0.271626,0.427828,0.253567,0.484822,,,,0.499379,0.378287,47.5,0.000100
259,0.268660,0.438231,0.252810,0.483088,,,,0.477477,0.366000,47.3,0.000100
260,0.267618,0.445384,0.253202,0.479618,,,,0.496586,0.383302,47.3,0.000100
261,0.267166,0.454053,0.253322,0.483088,,,,0.526818,0.391266,47.2,0.000100
262,0.266436,0.441482,0.252267,0.496097,,,,0.517890,0.390908,47.1,0.000100
263,0.267069,0.441699,0.253979,0.493495,,,,0.510716,0.386930,47.5,0.000100
264,0.266210,0.440832,0.249220,0.486557,,,,0.499689,0.380218,47.5,0.000100
265,0.267562,0.445167,0.250749,0.492628,,,,0.492153,0.376923,47.3,0.000100
266,0.267331,0.453186,0.249812,0.484822,,,,0.522209,0.394734,47.2,0.000100
267,0.263854,0.450802,0.247364,0.501301,,,,0.522741,0.401922,47.1,0.000100
268,0.265335,0.456654,0.248399,0.490893,,,,0.496250,0.383614,47.2,0.000100
269,0.263521,0.448635,0.249044,0.497832,,,,0.538957,0.415705,47.2,0.000100
270,0.263278,0.453836,0.246978,0.491761,,,,0.526570,0.397752,47.1,0.000100
271,0.266837,0.438015,0.247048,0.496964,,,,0.524570,0.411253,47.2,0.000100
272,0.263355,0.451669,0.247825,0.486557,,,,0.528749,0.403603,47.2,0.000100
273,0.262206,0.440399,0.247203,0.492628,,,,0.525485,0.409650,47.1,0.000100
274,0.261695,0.454053,0.246250,0.497832,,,,0.512119,0.398465,47.1,0.000100
275,0.263847,0.450368,0.245073,0.489159,,,,0.513166,0.397262,47.4,0.000100
276,0.262482,0.448201,0.245483,0.499566,,,,0.510876,0.390100,47.0,0.000100
277,0.261018,0.456437,0.243599,0.509974,,,,0.519481,0.401503,47.3,0.000100
278,0.258892,0.456220,0.243521,0.498699,,,,0.516409,0.397802,47.6,0.000100
279,0.259212,0.465323,0.246532,0.498699,,,,0.525351,0.410616,47.3,0.000100
280,0.260201,0.457087,0.247564,0.488291,,,,0.537609,0.416967,47.6,0.000100
281,0.261941,0.454486,0.242077,0.509107,,,,0.528485,0.415911,47.3,0.000100
282,0.260916,0.449935,0.243090,0.505637,,,,0.518065,0.406413,47.6,0.000100
283,0.260003,0.462289,0.248383,0.500434,,,,0.529412,0.413158,47.4,0.000100
284,0.260255,0.455570,0.244306,0.501301,,,,0.543746,0.425868,47.3,0.000100
285,0.256716,0.467274,0.241481,0.509974,,,,0.533494,0.415543,47.4,0.000100
286,0.257518,0.460121,0.241296,0.515178,,,,0.548810,0.430232,47.3,0.000100
287,0.257874,0.465756,0.241791,0.511709,,,,0.539928,0.421632,47.5,0.000100
288,0.257204,0.462072,0.241371,0.507372,,,,0.544807,0.422613,47.5,0.000100
289,0.259153,0.454486,0.243513,0.512576,,,,0.535347,0.430149,47.4,0.000100
290,0.257435,0.459038,0.240073,0.519514,,,,0.546108,0.436449,47.5,0.000100
291,0.256815,0.454270,0.239230,0.514310,,,,0.554502,0.438929,47.5,0.000100
292,0.253799,0.467057,0.240089,0.519514,,,,0.557396,0.447445,47.5,0.000100
293,0.256581,0.459254,0.240263,0.510841,,,,0.544170,0.435962,47.7,0.000100
294,0.256638,0.468357,0.244195,0.497832,,,,0.509068,0.406802,47.4,0.000100
295,0.254065,0.462722,0.242490,0.502168,,,,0.561424,0.443021,47.6,0.000100
296,0.254885,0.467057,0.239409,0.514310,,,,0.550708,0.434166,47.3,0.000100
